lotid,waferscribe,stepname,parameter_name,sample_date,ext_mv
3942203.003,DA8LR067SEF4,1230-GH CONTACT PRE METAL CMP THK,GOF,2019-09-18 08:49:00,0.990369083333332955731975744129158556461334228515625
3735023.063,M6FRK019WAB3,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JCNT,2018-10-26 18:06:24,2
3879033.003,CS1UT263SED7,1230-GH CONTACT PRE METAL CMP THK,GOF,2019-06-09 17:34:44,0.97102924999999995492316884337924420833587646484375
3788243.023,CV6BG002SED6,1230-GH CONTACT PRE METAL CMP THK,GOF,2019-01-03 15:36:10,0.6718600833333330246688319675740785896778106689453125
3814483.003,CX6XK154SEG0,1230-GH CONTACT PRE METAL CMP THK,GOF,2019-02-25 20:37:54,0.35435508333333298747191975053283385932445526123046875
3809433.0R3,KCGHC054WFA0,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JPCT,2019-01-26 02:13:25,100
3823613.003,KC9YU252WFG4,1230-GH CONTACT PRE METAL CMP THK,GOF,2019-03-22 12:08:51,0.1448149166666669873659856193626183085143566131591796875
3765503.003,M6MFL128WAA3,1230-GH CONTACT PRE METAL CMP THK,GOF,2018-10-28 02:42:08,0.96412525000000004471445436138310469686985015869140625
3883173.003,CS1UT075SED7,1230-GH CONTACT PRE METAL CMP THK,POINTS_VALID_S1_JPCT,2019-06-16 19:40:14,0
3915443.0P3,CZ4KZ353SEA2,1230-GH CONTACT PRE METAL CMP THK,GOF,2019-09-01 20:17:05,0.9885250833333329989471849330584518611431121826171875
3910533.003,CY1PT145SEF4,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JCNT,2019-09-15 01:02:45,2
3805113.003,CU4SZ113SEG6,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JCNT,2019-01-16 07:02:43,2
3738393.003,M6FRJ047WAG0,1230-GH CONTACT PRE METAL CMP THK,GOF,2018-10-04 11:42:11,0.94687949999999998507149712168029509484767913818359375
3882953.003,M75HW158WAB3,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JPCT,2019-08-05 19:30:43,100
3868633.003,CX8GQ279SEF1,1230-GH CONTACT PRE METAL CMP THK,GOF,2019-05-30 00:45:02,0.91777858333333295348666069912724196910858154296875
3910543.003,CY1PT190SEG6,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JCNT,2019-09-15 00:11:39,2
3906873.003,CZ5AP055SEB5,1230-GH CONTACT PRE METAL CMP THK,GOF,2019-08-12 00:58:36,0.99098691666666705035737550133490003645420074462890625
3871293.003,CX8GQ408SEE4,1230-GH CONTACT PRE METAL CMP THK,POINTS_VALID_S1_JPCT,2019-06-17 20:24:46,0
3811713.003,KCGHD086WFA2,1230-GH CONTACT PRE METAL CMP THK,POINTS_VALID_S1_JPCT,2019-03-02 21:56:07,0
3858533.0D3,CX8GQ195SEF3,1230-GH CONTACT PRE METAL CMP THK,POINTS_VALID_S1_JPCT,2019-05-21 19:43:30,0
